CATEGORY_1_NAME,CATEGORY_1_ID,CATEGORY_1_IMAGES,CATEGORY_2_NAME,CATEGORY_2_ID,CATEGORY_2_IMAGES,PRODUCT_TYPE,PRODUCT_ID,PARENT_ID,SKU,PRODUCT_NAME,PRODUCT_DESCRIPTION,ORIGINAL_PRICE,SELLING_PRICE,PRICE_RANGE,BRAND,STAFF_PICK,VARIANT_COLOR,VARIANT_SIZE,VARIANT_PREPARATION,FULL_SIZE_IMAGES,PRODUCT_DETAILS,LOCATION_ID,ONHAND,TEMP_PRODIDS,FULL_SIZE_IMAGES_2
RIDING GEAR,RIDING GEAR,,,,,REGULAR,moto_gear_1,,moto_gear_1,REAX Fulton WP Riding Shoes,Casual riding shoe with enough protection for your two wheeled endeavors.,150,150,,REAX,TRUE,,,,https://www.revzilla.com/product_images/1411/1639/reax_fulton_riding_shoes_black_red_white_750x750.jpg,,wh1-montreal,120,,https://www.revzilla.com/product_images/1411/1639/reax_fulton_riding_shoes_black_red_white_750x750.jpg
RIDING GEAR,RIDING GEAR,,,,,REGULAR,moto_gear_2,,moto_gear_2,ZANheadgear NVS Sunglasses,"Zan Headgear has put a classy twist on a classic style, with unique colors and subtle lines. The timeless wayfarer styling has never looked better.",160,160,,ZAN HEADGEAR,TRUE,,,,https://www.revzilla.com/product_images/0227/5864/zans_nvs_sunglasses_750x750.jpg,,wh1-montreal,120,,https://www.revzilla.com/product_images/0227/5864/zans_nvs_sunglasses_750x750.jpg
RIDING GEAR,RIDING GEAR,,,,,REGULAR,moto_gear_3,,moto_gear_3,Alpinestars Missile Race Suit For Tech Air Race,"This Alpinestars Missile Race Suit accepts the Tech Air Race Airbag Vest, turning it into the most sophisticated protection system on the track.",999.95,999.95,,ALPINESTARS,TRUE,,,,https://www.revzilla.com/product_images/0322/6168/alpinestars_missile_race_suit_for_tech_air_race_black_white_fluo_red_fluo_yellow_750x750.jpg,,wh1-montreal,120,,https://www.revzilla.com/product_images/0322/6168/alpinestars_missile_race_suit_for_tech_air_race_black_white_fluo_red_fluo_yellow_750x750.jpg
RIDING GEAR,RIDING GEAR,,,,,REGULAR,moto_gear_4,,moto_gear_4,Icon D3O Vest,The D3O Vest from Icon provides a simple solution to the problems presented by garments without armor pockets.,180,180,,ICON,FALSE,,,,https://www.revzilla.com/product_images/0905/8366/icon_d3_o_vest_black_750x750.jpg,,wh1-montreal,120,,https://www.revzilla.com/product_images/0905/8366/icon_d3_o_vest_black_750x750.jpg
RIDING GEAR,RIDING GEAR,,,,,REGULAR,moto_gear_5,,moto_gear_5,Factory Effex Yamaha Vintage Hat,Officially licensed Yamaha hat. Snapback style.,24.95,24.95,,FACTORY EFFEX,TRUE,,,,https://www.revzilla.com/product_images/0118/2194/factory_effex_yamaha_vintage_hat_750x750.jpg,,wh1-montreal,120,,https://www.revzilla.com/product_images/0118/2194/factory_effex_yamaha_vintage_hat_750x750.jpg
