CATEGORY_1_NAME,CATEGORY_1_ID,CATEGORY_1_IMAGES,CATEGORY_2_NAME,CATEGORY_2_ID,CATEGORY_2_IMAGES,PRODUCT_TYPE,PRODUCT_ID,PARENT_ID,SKU,PRODUCT_NAME,PRODUCT_DESCRIPTION,ORIGINAL_PRICE,SELLING_PRICE,PRICE_RANGE,BRAND,STAFF_PICK,VARIANT_COLOR,VARIANT_SIZE,VARIANT_PREPARATION,FULL_SIZE_IMAGES,PRODUCT_DETAILS,LOCATION_ID,ONHAND,TEMP_PRODIDS,FULL_SIZE_IMAGES_2
HELMETS,HELMETS,,,,,REGULAR,moto_helmet_1,,moto_helmet_1,Scorpion EXO-R420 Helmet,"The Scorpion EXO-R420 isn't some half-baked race-inspired helmet. This is the real deal, with an advanced LG polycarbonate shell that is SNELL approved. ",149.95,200,,Scorpion,TRUE,,,,https://www.revzilla.com/product_images/0331/1266/scorpion_exo_r420_black_750x750.jpg,,wh1-montreal,120,,https://www.revzilla.com/product_images/0331/1266/scorpion_exo_r420_black_750x750.jpg
HELMETS,HELMETS,,,,,REGULAR,moto_helmet_2,,moto_helmet_2,AGV K1 Helmet,"With design cues and features from the race-level Corsa and Pista, the AGV K1 Helmet is ready to meet the needs of the everyday sport rider.",150,150,,AGV,TRUE,,,,https://www.revzilla.com/product_images/0394/4154/agvk1_helmet_750x750.jpg,,wh1-montreal,120,,https://www.revzilla.com/product_images/0394/4154/agvk1_helmet_750x750.jpg
HELMETS,HELMETS,,,,,REGULAR,moto_helmet_3,,moto_helmet_3,Icon Airflite Helmet,All around aggression distilled into a helmet that is potable for multiple rider types.,160,160,,Icon,TRUE,,,,https://www.revzilla.com/product_images/0356/8841/icon_airflite_helmet_black_750x750.jpg,,wh1-montreal,120,,https://www.revzilla.com/product_images/0356/8841/icon_airflite_helmet_black_750x750.jpg
HELMETS,HELMETS,,,,,REGULAR,moto_helmet_4,,moto_helmet_4,AGV Sportmodular Carbon Solid Helmet,"Carbon fiber for lightness, modular to fit your riding lifestyle. AGV Helmet for MotoGP racing pedigree.",170,170,,AGV,TRUE,,,,https://www.revzilla.com/product_images/0313/4870/agv_helmets_agv_sport_modular_glossy_750x750.jpg,,wh1-montreal,120,,https://www.revzilla.com/product_images/0313/4870/agv_helmets_agv_sport_modular_glossy_750x750.jpg
HELMETS,HELMETS,,,,,REGULAR,moto_helmet_5,,moto_helmet_5,Scorpion EXO-AT950 Neocon Helmet (XS and SM),"Scorpion has redefined a segment, melding the best features of touring helmets with the versatility of an off-road lid. Scorpion EXO-AT950 Neocon Helmet is the all-in-one swiss army knife of the helmet world. The modular chin bar allows you to relieve your claustrophobia or ask for directions while the off-road style peak and large eye port deflects roost, blocks the sun and allows you to wear goggles when tearing up the trails.",180,180,,Scorpion,TRUE,,,,https://www.revzilla.com/product_images/0195/0970/scorpion_exoat950_neocon_helmet_orange_750x750.jpg,,wh1-montreal,120,,https://www.revzilla.com/product_images/0195/0970/scorpion_exoat950_neocon_helmet_orange_750x750.jpg
HELMETS,HELMETS,,,,,REGULAR,moto_helmet_6,,moto_helmet_6,Fly Racing Street 9mm Helmet,Old school chopper styling meets American DOT safety standards - the Fly 9mm Helmet.,190,190,,FLY RACING STREET,TRUE,,,,https://www.revzilla.com/product_images/0084/3968/fly9_mm_helmet_750x750.jpg,,wh1-montreal,120,,https://www.revzilla.com/product_images/0084/3968/fly9_mm_helmet_750x750.jpg
HELMETS,HELMETS,,,,,REGULAR,moto_helmet_7,,moto_helmet_7,HJC IS-Cruiser Amor Women’s Helmet,"The HJC IS-Cruiser Helmet is paired down for rugged good looks and sheer simplicity. There's no complex lever to deploy the sun shield. You naturally grab small exposed tabs and pull it down, so not much to go wrong here. No frills, no fuss.",200,200,,HJC,FALSE,,,,https://www.revzilla.com/product_images/0659/7931/hjc_helmets_is_cruiser_amor_mc5_sf_750x750.jpg,,wh1-montreal,120,,https://www.revzilla.com/product_images/0659/7931/hjc_helmets_is_cruiser_amor_mc5_sf_750x750.jpg
HELMETS,HELMETS,,,,,REGULAR,moto_helmet_8,,moto_helmet_8,Scorpion EXO Covert Titanium Evo Helmet Titanium / 3XL,"Scorpion adds a whole lot of ""but wait, there's more"" to the classic half shell with the Scorpion Covert Evo Helmet. They start off strong with a tune-able ventilation system. Next they mix in a no-frills drop down sun visor system.",210,210,,Scorpion,FALSE,,,,https://www.revzilla.com/product_images/1462/9106/scorpion_exo_covert_titanium_evo_helmet_titanium3_xl_open_box_titanium_750x750.jpg,,wh1-montreal,120,,https://www.revzilla.com/product_images/1462/9106/scorpion_exo_covert_titanium_evo_helmet_titanium3_xl_open_box_titanium_750x750.jpg
HELMETS,HELMETS,,,,,REGULAR,moto_helmet_9,,moto_helmet_9,LS2 Spitfire Bombrider Helmet,"The LS2 Spitfire Helmet starts with a lightweight shell. Add a built-in, drop down inner sun shield. Build the rich comfort padding out of hypoallergenic and breathable materials and add a built-in ventilation system to allow fresh air to pass through the material, keeping you cool and dry. The 3D laser cut interior offers the perfect fit, with no hot spots, for all day comfort. Finish it off with a DOT-approved quick release chinstrap, and you have a modern, comfortable helmet with the retro style you love.",220,220,,LS2,FALSE,,,,https://www.revzilla.com/product_images/1025/1799/ls2_spitfire_bombrider_helmet_brushed_alloy_750x750.jpg,,wh1-montreal,120,,https://www.revzilla.com/product_images/1025/1799/ls2_spitfire_bombrider_helmet_brushed_alloy_750x750.jpg
